id	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
#q2:types	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
0	d60ab9f7906437b1387a5ce6e5336042	AC256215.2907.4706	100	366	0	0	1	366	414	49	0	676
1	6af247c9cbfa7ba8a6fb3e1da2b1cc91	SIMON.CB6	96.399	361	11	2	1	361	372	14	5.7e-169	593
2	52755694e86dd21f3cb9b28a66c25a9f	AC256215.2907.4706	100	365	0	0	1	365	414	50	0	675
3	7ba096c6ac036d4a5e14202fc1d42583	SIMON.CB19	96.944	360	11	0	1	360	372	13	2.63e-172	604
4	6fa82456aa64e544f294b0a714df156f	AF022155.1.1790	100	363	0	0	1	363	408	46	0	671
5	605d094ed6b646b1046754809987a2e9	JN093105.1.1761	99.721	358	1	0	1	358	398	41	0	656
6	0355c3827d4b18a1c134421304b64533	AACA01000199.1345.3141	100	362	0	0	1	362	410	49	0	669
7	c373a304788e5e45e034a1c8e38c9e35	OQ396740.1	97.971	345	5	2	1	344	345	2	4.42e-170	597
8	eff4f4196a84cc234ecaab860d51dec5	AY763147.1.1293	91.69	361	27	3	1	358	373	13	4.56e-140	497
9	392c8501259d0e28eb9b9785f564a43c	AB076630.1.1806	99.728	368	1	0	1	368	418	51	0	675
10	1ef061e2901be6cac6c886c9a2405a33	JN939440.1.1757	100	363	0	0	1	363	396	34	0	671
11	3ee2ceca4a1730a312649c238e1f1c70	SIMON.CB6	96.389	360	11	2	1	360	372	15	2.05e-168	592
12	69e9a18ac1321d17d323cde9c7274e25	SIMON.WW4	96.667	360	12	0	1	360	372	13	1.22e-170	599
13	c1d822807f56f33c526bef20a99da0bc	JN093105.1.1761	100	358	0	0	1	358	398	41	0	662
14	79ce28c09c5b757c4d5a8390179a35ef	LC054923.1.1797	98.072	363	5	2	1	362	445	84	4.36e-180	630
15	38c94582186c8c52017b15419a69cf9d	OQ396731.1	99.711	346	0	1	1	345	349	4	1.21e-180	632
16	59f4db86fab110d3ac66f9033c76da39	AF119081.1.1761	94.038	369	22	0	1	369	396	28	5.92e-159	560
17	667fcd51e6db7866b07deadfb9892c75	MH843669.1.1685	100	362	0	0	1	362	370	9	0	669
18	ada73c176d35ca91911487d5a23d583e	SIMON.SLH10	96.953	361	11	0	1	361	375	15	7.33e-173	606
19	11e553cc614f7bae69da7e1d29025ec3	AY179977.1.1740	97.067	341	10	0	1	341	391	51	1.94e-163	575
20	57ddfd911e257c47959254e51360df92	SIMON.GV2	98.072	363	7	0	1	363	375	13	1.22e-180	632
21	dea11a4044380bc6cec2b4518cd98804	KC161253.1.1728	100	366	0	0	1	366	366	1	0	676
22	e68b01ea103fa249b85ad2e1c152d33e	AY854211.1.1404	97.507	361	8	1	1	361	378	19	1.22e-175	616
23	3b06edd4ebc632a27a0011b8525d38ad	KJ887440.1.1791	96.164	365	13	1	1	365	402	39	1.6e-169	595
24	3d8f20df5e13e6c0707dbff080ad7805	SIMON.SLH10	96.399	361	13	0	1	361	375	15	1.59e-169	595
25	db65b7836aff7e66bbe4b49350ed1afe	AY527054.1.1814	100	369	0	0	1	369	419	51	0	682
26	c66b42182206ddf80d70a81bc1360dd8	AC256215.2907.4706	99.727	366	1	0	1	366	414	49	0	671
27	ae34fa11c8b7ff8929086fa20ef41fed	AF363191.1.1782	100	343	0	0	1	343	393	51	0	634
28	cab8beb227c61434ca4be22d1ecd7f84	KC488424.1.1711	100	362	0	0	1	362	364	3	0	669
29	174367e0f6edc695f6b333fb42fa1e7c	FJ153790.1.1769	99.44	357	2	0	1	357	386	30	0	649
30	63424c5aeb8630c6dc55a72fdc94afb0	AB275002.1.1662	92.605	311	21	2	26	336	309	1	1.59e-124	446
31	a3a28b17f7040cdab5f33da856b90df7	SIMON.CB6	96.122	361	12	2	1	361	372	14	2.65e-167	588
32	e6149e3fa79fa2f43f4b66e8d3df9deb	AY593939.1.1717	90.463	367	28	7	1	364	378	16	6.05e-134	477
33	f41ebb117323cab966f1b6f62e71f8af	MG669887.1	94.751	362	14	5	1	358	361	1	2.06e-158	558
34	218f43143992cfba3b52fd85289919e6	OQ396726.1	94.783	345	18	0	1	345	353	9	2.72e-152	538
35	b4fd28cecca7625da7277af3be250b8c	OQ396740.1	97.971	345	5	2	1	344	345	2	4.42e-170	597
36	5cf703bd5e747446ecee375b934f1704	AY863435.1.1722	99.461	371	2	0	1	371	372	2	0	675
37	bcf5a1e7dff45e0c7fddc0b0d5c7c38f	SIMON.GV2	98.623	363	5	0	1	363	375	13	0	643
38	51f5d0b9c488d9d1846c7b8242d6b31a	SIMON.AH3	98.898	363	4	0	1	363	376	14	0	649
39	a17fe3a9bb6bcc49301f07ef85e68a49	AB275002.1.1662	92.949	312	18	4	26	336	309	1	3.42e-126	451
40	ad6a83c5618c348c1f407bba45211741	AB181884.1.1723	96.953	361	11	0	1	361	373	13	7.33e-173	606
41	f78565cf09a02efbe34696688c8824c4	AY854211.1.1404	97.507	361	8	1	1	361	378	19	1.22e-175	616
